"Timestamp","Q1. How many years of experience do you have in clinical data management or clinical research operations?","Q2. What best describes your current or most recent role?","Q3. What type of organisation do you currently or most recently work for?","Q4. Which EDC system(s) have you worked with? Select all that apply.","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [CRF complexity / page count]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Protocol amendment frequency]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Screen failure rate]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Site experience level]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Therapeutic area complexity]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Trial phase (I–IV)]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Number of enrolled participants]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Number of study sites]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Edit check density in EDC]","Q5. In your professional experience, how strongly does each of the following factors contribute to high data query rates in clinical trials? Rate each from 1 (not at all influential) to 5 (extremely influential). [Trial duration]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [CRF complexity / page count]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Protocol amendment frequency]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Site experience / training level]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Therapeutic area (e.g. oncology vs. primary care)]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Screen failure rate]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Trial phase]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Number of enrolled participants]","Q6. From the list below, please rank your top 5 most important drivers of high query rates. Enter a number 1–5 next to your top 5 choices, where 1 = most important. Instructions: Choose a rank 1 to 5 for your selected factors. [Edit check / validation rule density]","Q7. In your organisation, how are data quality risks currently identified and managed during a clinical trial? Select all that apply.","Q8. How frequently does your team review query rate trends during an active trial?","Q9. In your experience, at what stage of a clinical trial do data quality issues (high query rates) typically become apparent?","Q10. How familiar are you with the use of machine learning or predictive analytics in clinical data management?","Q11. To what extent do you agree with the following statement: 'A machine learning model that predicts data query rate risk before the database lock phase would be valuable to clinical data management teams.'","Q12. Which of the following outputs from an ML risk model would be most useful to your team? Select up to 3.","Q13. What would be your primary concern about adopting an ML-based risk scoring tool in a GCP-regulated clinical trial environment? Select all that apply.","Q14. In your experience, which single factor has had the greatest impact on data query rates in a trial you have personally worked on? Please briefly describe.","Q15. Do you have any additional comments or suggestions regarding the use of predictive analytics for data quality management in clinical trials?",""
"2026/06/26 4:53:03 PM GMT+3","More than 10 years","Data Scientist, Clinical Database Programmer","Contract Research Organisation (CRO)","Medidata Rave","4 — Very influential","4 — Very influential","5 — Extremely influential","5 — Extremely influential","4 — Very influential","4 — Very influential","2 — Slightly influential","2 — Slightly influential","3 — Moderately influential","4 — Very influential","1","2","2","2","1","1","2","2","Reactive — queries are raised and resolved as they arise with no prior risk scoring;CTMS / dashboard-based post-hoc monitoring","At key milestones only (e.g. interim analysis, database lock)","Mid-trial (active data collection)","Not familiar at all","5","Site-level risk heatmap;Explanation of which features are driving the risk score;Early warning alerts when risk exceeds a threshold","Data privacy concerns;Trust in model accuracy","Site unable to understand the instructions provided in help text","Prefer to have a dashboard which refreshes on regular interval and also provides different view based on type of user accessing the dashboard. For example: DM should have detailed view while the client should have simplified view.","Yes, I consent to participate"
"2026/07/08 8:02:06 PM GMT+3","6–10 years","Clinical Database Programmer","Contract Research Organisation (CRO)","Medidata Rave;Oracle Clinical / InForm","4 — Very influential","4 — Very influential","5 — Extremely influential","4 — Very influential","4 — Very influential","5 — Extremely influential","5 — Extremely influential","5 — Extremely influential","5 — Extremely influential","5 — Extremely influential","5","3","2","5","3","4","4","5","Reactive — queries are raised and resolved as they arise with no prior risk scoring;Rule-based EDC edit checks only;CTMS / dashboard-based post-hoc monitoring;Risk-Based Monitoring (RBM) as per ICH E6(R3)","Monthly","Mid-trial (active data collection)","Aware of it but have not used it","3","Overall risk score per study (Low / Medium / High);Early warning alerts when risk exceeds a threshold;Anomaly flags for unusual data patterns","Data privacy concerns;Integration complexity with existing systems;Trust in model accuracy","NA","NA",""
"2026/07/08 8:59:43 PM GMT+3","More than 10 years","DB Programming","Contract Research Organisation (CRO)","Medidata Rave;Oracle Clinical / InForm;Veeva Vault EDC","2 — Slightly influential","3 — Moderately influential","1 — Not at all influential","3 — Moderately influential","2 — Slightly influential","1 — Not at all influential","3 — Moderately influential","3 — Moderately influential","2 — Slightly influential","2 — Slightly influential","3","4","4","2","1","1","4","3","Rule-based EDC edit checks only;CTMS / dashboard-based post-hoc monitoring","Monthly","Early enrolment phase","Some familiarity — have read about it or seen it used","2","Site-level risk heatmap;Early warning alerts when risk exceeds a threshold;Anomaly flags for unusual data patterns","Lack of explainability — not knowing why the model gives a score;Regulatory compliance / auditability under ICH E6(R3) or FDA 21 CFR Part 11;Data privacy concerns;Integration complexity with existing systems;Trust in model accuracy","Site training and poor eCRF designs","",""
"2026/07/08 9:36:39 PM GMT+3","6–10 years","Clinical Data Manager (CDM)","Contract Research Organisation (CRO)","Medidata Rave;Veeva Vault EDC","3 — Moderately influential","2 — Slightly influential","2 — Slightly influential","2 — Slightly influential","2 — Slightly influential","2 — Slightly influential","2 — Slightly influential","2 — Slightly influential","3 — Moderately influential","2 — Slightly influential","2","2","3","2","3","3","3","3","Rule-based EDC edit checks only;CTMS / dashboard-based post-hoc monitoring","Monthly","Close to database lock","Used ML tools in my current or previous role","2","Explanation of which features are driving the risk score;Early warning alerts when risk exceeds a threshold","Data privacy concerns;Integration complexity with existing systems","Na","Na",""
"2026/07/08 11:39:10 PM GMT+3","2–5 years","Clinical Research Associate (CRA) / Monitor","Contract Research Organisation (CRO)","Medidata Rave;Veeva Vault EDC","4 — Very influential","5 — Extremely influential","3 — Moderately influential","2 — Slightly influential","5 — Extremely influential","4 — Very influential","5 — Extremely influential","3 — Moderately influential","5 — Extremely influential","3 — Moderately influential","3","3","4","3","3","2","3","2","Rule-based EDC edit checks only;Risk-Based Monitoring (RBM) as per ICH E6(R3)","Daily","Close to database lock","Some familiarity — have read about it or seen it used","4","Overall risk score per study (Low / Medium / High);Site-level risk heatmap;Explanation of which features are driving the risk score;Early warning alerts when risk exceeds a threshold;Integration with existing CTMS / EDC dashboards;Anomaly flags for unusual data patterns","Lack of explainability — not knowing why the model gives a score;Regulatory compliance / auditability under ICH E6(R3) or FDA 21 CFR Part 11;Data privacy concerns;Integration complexity with existing systems;Trust in model accuracy","","",""
"2026/07/09 10:24:59 AM GMT+3","More than 10 years","Data Team Lead / Delivery Lead","Contract Research Organisation (CRO)","Medidata Rave;Oracle Clinical / InForm;Veeva Vault EDC","4 — Very influential","5 — Extremely influential","4 — Very influential","5 — Extremely influential","5 — Extremely influential","3 — Moderately influential","4 — Very influential","4 — Very influential","3 — Moderately influential","2 — Slightly influential","3","3","4","3","3","3","3","3","Reactive — queries are raised and resolved as they arise with no prior risk scoring;Risk-Based Monitoring (RBM) as per ICH E6(R3);Predictive / ML-based risk scoring tools","Daily","Close to database lock","Used ML tools in my current or previous role","5","Overall risk score per study (Low / Medium / High);Site-level risk heatmap;Explanation of which features are driving the risk score;Early warning alerts when risk exceeds a threshold;Anomaly flags for unusual data patterns","Regulatory compliance / auditability under ICH E6(R3) or FDA 21 CFR Part 11;Integration complexity with existing systems;Trust in model accuracy","The single greatest factor reducing eCRF query rates is real-time, point-of-entry edit checks programmed directly into the EDC system.","No",""
"2026/07/09 12:49:22 PM GMT+3","More than 10 years","Database Design Lead","Contract Research Organisation (CRO)","Medidata Rave;Veeva Vault EDC","5 — Extremely influential","3 — Moderately influential","3 — Moderately influential","4 — Very influential","5 — Extremely influential","2 — Slightly influential","5 — Extremely influential","3 — Moderately influential","5 — Extremely influential","4 — Very influential","1","4","3","1","4","3","1","3","Rule-based EDC edit checks only;CTMS / dashboard-based post-hoc monitoring;Risk-Based Monitoring (RBM) as per ICH E6(R3);Predictive / ML-based risk scoring tools","Monthly","Mid-trial (active data collection)","Aware of it but have not used it","4","Overall risk score per study (Low / Medium / High);Site-level risk heatmap;Early warning alerts when risk exceeds a threshold;Anomaly flags for unusual data patterns","Lack of explainability — not knowing why the model gives a score;Regulatory compliance / auditability under ICH E6(R3) or FDA 21 CFR Part 11;Data privacy concerns;Trust in model accuracy","Veeva has system level FLEs that run as soon as data is entered but form being saved. Lot's of incorrect data entry is reduced.","This entirely depends on the model that is used and the data it is trained on.",""
"2026/07/09 7:46:09 PM GMT+3","More than 10 years","Data Team Lead / Delivery Lead","Pharmaceutical / Biotech sponsor company","Medidata Rave","3 — Moderately influential","3 — Moderately influential","2 — Slightly influential","3 — Moderately influential","3 — Moderately influential","3 — Moderately influential","3 — Moderately influential","3 — Moderately influential","3 — Moderately influential","3 — Moderately influential","3","1","3","4","1","3","3","4","Reactive — queries are raised and resolved as they arise with no prior risk scoring;Rule-based EDC edit checks only;Risk-Based Monitoring (RBM) as per ICH E6(R3)","Weekly","Mid-trial (active data collection)","Not familiar at all","3","Overall risk score per study (Low / Medium / High);Site-level risk heatmap;Early warning alerts when risk exceeds a threshold;Integration with existing CTMS / EDC dashboards;Anomaly flags for unusual data patterns","Data privacy concerns","Lack of patient training ","Should give a try to have good standard of data",""
"2026/07/10 6:30:15 AM GMT+3","More than 10 years","Data Acquisition Expert","Contract Research Organisation (CRO)","Medidata Rave;Oracle Clinical / InForm;Veeva Vault EDC","1 — Not at all influential","2 — Slightly influential","1 — Not at all influential","5 — Extremely influential","3 — Moderately influential","3 — Moderately influential","5 — Extremely influential","5 — Extremely influential","4 — Very influential","2 — Slightly influential","4","3","1","2","3","3","1","1","Reactive — queries are raised and resolved as they arise with no prior risk scoring;Rule-based EDC edit checks only;Risk-Based Monitoring (RBM) as per ICH E6(R3)","Monthly","Only identified during data cleaning / lock","Used ML tools in my current or previous role","1","Overall risk score per study (Low / Medium / High);Site-level risk heatmap;Early warning alerts when risk exceeds a threshold;Anomaly flags for unusual data patterns","Lack of explainability — not knowing why the model gives a score;Integration complexity with existing systems","Uneducated Site bout edc.","Yes, should leverage to predict anomalies",""
"2026/07/10 6:30:23 AM GMT+3","More than 10 years","Data Team Lead / Delivery Lead","Pharmaceutical / Biotech sponsor company","Medidata Rave;Oracle Clinical / InForm;Veeva Vault EDC;Zelta","5 — Extremely influential","3 — Moderately influential","3 — Moderately influential","4 — Very influential","4 — Very influential","3 — Moderately influential","3 — Moderately influential","2 — Slightly influential","3 — Moderately influential","3 — Moderately influential","5","3","5","5","3","5","3","5","Reactive — queries are raised and resolved as they arise with no prior risk scoring;Rule-based EDC edit checks only;CTMS / dashboard-based post-hoc monitoring","Daily","Only identified during data cleaning / lock","Not familiar at all","5","Overall risk score per study (Low / Medium / High);Site-level risk heatmap","Lack of explainability — not knowing why the model gives a score;Data privacy concerns;Integration complexity with existing systems;Trust in model accuracy","Inadequate protocol knowledge from site","nA",""
