NCT Number,Study Status,Study Results,Conditions,Sponsor,Sex,Age,Phases,Enrollment,Trial Duration (days),Number of Sites,Intervention Type,has_collaborator,Allocation,Primary Purpose,blinding_level,query_rate,risk_category,therapeutic_area,sponsor_type,protocol_amendment_count,crf_page_count,site_experience_score,country_risk_score,investigator_tenure_years,screen_failure_rate,enrollment_velocity,avg_time_visit_to_entry_days,edit_check_density_per_domain,historical_query_resolution_time_days,sdtm_domain_count,complex_derivations_flag,external_data_feeds_count
NCT00768222,COMPLETED,YES,Breast Cancer,"Ethicon, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE4,101.0,212,6,DEVICE,1,RANDOMIZED,TREATMENT,0,12.49,LOW,ONCOLOGY,INDUSTRY,2,57,7.53,4,3.98,0.4475,14.29245283018868,1.4,19,6.2,7,0,1
NCT03471351,TERMINATED,NO,Classical Hodgkin Lymphoma,Rhizen Pharmaceuticals SA,ALL,"ADULT, OLDER_ADULT",PHASE1,2.0,210,3,DRUG,0,UNKNOWN,TREATMENT,0,33.31,MEDIUM,ONCOLOGY,INDUSTRY,1,32,4.32,2,6.08,0.2221,0.2857142857142857,2.1,13,4.7,4,1,0
NCT00498251,COMPLETED,NO,"Lung Injury, Acute|Thoracotomy|Anesthesia|Intensive Care, Surgical|Extravascular Lung Water","University Hospital, Geneva",ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,30.0,1003,1,DRUG,0,RANDOMIZED,TREATMENT,2,30.08,MEDIUM,CARDIOVASCULAR,ACADEMIC_GOVT,1,104,5.63,1,0.53,0.2778,0.897308075772682,2.8,29,11.4,10,1,2
NCT00275951,COMPLETED,NO,Gastric Cancer,National Taiwan University Hospital,ALL,"ADULT, OLDER_ADULT",PHASE2,39.0,1278,1,DRUG,1,NON_RANDOMIZED,TREATMENT,0,66.16,HIGH,ONCOLOGY,ACADEMIC_GOVT,3,128,6.28,1,2.65,0.3498,0.9154929577464789,4.8,23,15.4,11,1,4
NCT02025231,TERMINATED,NO,Malignant Glioma|Glioblastoma,"Rigshospitalet, Denmark",ALL,"ADULT, OLDER_ADULT",PHASE2,31.0,1217,2,RADIATION,1,UNKNOWN,TREATMENT,0,36.27,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,3,81,6.42,3,1.63,0.4807,0.7641741988496302,4.9,27,4.5,14,0,2
NCT03093272,TERMINATED,YES,Prostate Cancer,Dana-Farber Cancer Institute,MALE,"ADULT, OLDER_ADULT",PHASE2,9.0,921,2,DRUG,1,UNKNOWN,TREATMENT,0,39.33,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,2,86,4.65,3,1.34,0.7591,0.2931596091205212,6.2,24,10.4,12,0,5
NCT00523939,TERMINATED,YES,"Neoplastic Meningitis|Lymphoma, B Cell",Duke University,ALL,"ADULT, OLDER_ADULT",PHASE2,4.0,1096,1,DRUG,1,NON_RANDOMIZED,TREATMENT,0,57.46,HIGH,ONCOLOGY,ACADEMIC_GOVT,3,120,7.42,1,5.44,0.3431,0.10948905109489052,4.0,27,2.7,14,0,1
NCT00148057,COMPLETED,NO,Breast Cancer,"University Health Network, Toronto",FEMALE,"ADULT, OLDER_ADULT",PHASE3,4695.0,6544,1,BEHAVIORAL,1,RANDOMIZED,PREVENTION,0,57.88,HIGH,ONCOLOGY,ACADEMIC_GOVT,7,100,5.39,1,4.56,0.4094,21.523533007334965,0.6,33,8.9,9,1,1
NCT02269267,COMPLETED,YES,"Leukemia, Myeloid, Chronic",Medical College of Wisconsin,ALL,"ADULT, OLDER_ADULT",PHASE2,173.0,2666,16,DRUG,1,UNKNOWN,TREATMENT,0,94.44,HIGH,ONCOLOGY,ACADEMIC_GOVT,5,112,7.25,4,0.5,0.5858,1.946736684171043,6.4,34,15.3,10,1,2
NCT04752267,COMPLETED,NO,Anatomic Stage IV Breast Cancer AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Glioma|Malignant Brain Neoplasm|Metastatic Breast Carcinoma|Metastatic Colon Carcinoma|Metastatic Kidney Carcinoma|Metastatic Lung Carcinoma|Metastatic Malignant Neoplasm in the Brain|Metastatic Melanoma|Pathologic Stage IV Cutaneous Melanoma AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8|Stage IV Colon Cancer AJCC v8|Stage IV Lung Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8|Stage IVA Colon Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Colon Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8|Stage IVC Colon Cancer AJCC v8,University of Southern California,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,10.0,945,1,PROCEDURE,1,UNKNOWN,DIAGNOSTIC,0,4.95,LOW,NEUROLOGY,ACADEMIC_GOVT,1,34,5.98,2,5.84,0.1576,0.31746031746031744,6.5,14,6.7,3,1,0
NCT03306992,COMPLETED,NO,Non Small Cell Lung Cancer|Secondary Lung Cancer,University of Utah,ALL,"ADULT, OLDER_ADULT",PHASE3,200.0,1666,1,BEHAVIORAL,1,RANDOMIZED,TREATMENT,0,33.67,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,5,106,6.58,1,3.68,0.4233,3.6014405762304924,5.8,32,11.6,9,0,0
NCT05683236,COMPLETED,NO,Multidisciplinary Collaborative|Palliative Care Model|Quality of Life,Shijiazhuang People's Hospital,ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,84.0,1075,1,OTHER,0,RANDOMIZED,SUPPORTIVE_CARE,4,55.14,HIGH,OTHER,ACADEMIC_GOVT,2,89,4.16,1,0.98,0.2945,2.3441860465116275,9.6,28,11.2,9,0,2
